trial,category,coverage,count,knn,ft,pre,fc,pc,own
shapenet1202,car,0.0,0.0,0.3484370557641803,0.2627048194408417,0.1927480995655059,1,1,airplane
shapenet1208,car,-0.23104906018664842,0.3333333333333333,0.33158359694759487,0.0650935769081115,-0.0666841268539428,1,0,watercraft
shapenet1210,car,0.0,0.0,0.7736101433100092,0.0704149007797241,-0.0666577219963073,1,0,sofa
shapenet1211,car,-2.060694968905544,7.666666666666667,0.2854054640093995,0.0504566431045532,0.0171892046928405,1,1,lamp
shapenet1212,car,-4.990560374986772,265.3333333333333,0.07933203168739784,-0.0042954236268997,-0.0306013226509094,0,0,car
shapenet1215,car,0.0,0.0,0.35245084619155703,0.1274386644363403,0.1521626114845276,1,1,airplane
shapenet1216,car,0.0,0.0,0.36832809068619515,-0.0156263411045074,0.0116339325904846,0,0,watercraft
shapenet1218,car,0.0,0.0,0.8279595836142395,0.1568952798843383,0.1167070865631103,1,1,telephone
shapenet1220,car,-2.890885764680103,217.33333333333334,0.12316759620016528,0.2208175063133239,0.1703915894031524,1,1,car
shapenet1222,car,0.0,0.0,0.6903724613236658,-0.0137319862842559,0.0465555787086486,0,1,sofa
shapenet1224,car,0.0,0.0,0.38537450834016757,0.3572842180728912,0.2359625697135925,1,1,airplane
shapenet1226,car,0.0,0.0,1.0861436680352008,-0.0631279647350311,-0.0412117838859558,0,0,loudspeaker
shapenet1227,car,0.0,0.0,0.7949660505551064,0.0480314791202545,0.0872152000665664,1,1,table
shapenet1228,car,0.0,0.0,0.44349064353965706,-0.0973410606384277,-0.0418864488601684,0,0,airplane
shapenet1232,car,-0.46209812037329684,0.6666666666666666,0.2854282193889091,0.0837805867195129,-0.0523683726787567,1,0,watercraft
shapenet1234,car,0.0,0.0,0.8952356613737629,0.1337122321128845,0.0737970471382141,1,1,chair
shapenet1241,car,-2.6046652250009306,12.666666666666666,0.2471059400210099,0.265885591506958,0.1911015212535858,1,1,lamp
shapenet1242,car,0.0,0.0,0.7780964021309517,0.1281753778457641,0.065611720085144,1,1,cabinet
shapenet1245,car,0.0,0.0,0.41457144622386727,-0.0756592154502868,-0.0709108710289001,0,0,airplane
shapenet1250,car,0.0,0.0,0.8241610726229168,0.270405113697052,0.1765789985656738,1,1,chair
shapenet1252,car,-0.9985774245179969,2.0,0.26148280891830344,-0.0512844026088714,-0.0800297260284423,0,0,watercraft
shapenet1253,car,-0.7324081924454066,1.3333333333333333,0.28446556759521435,-0.0167320072650909,0.1112739741802215,0,1,watercraft
shapenet1255,car,0.0,0.0,0.6727319961534718,-0.1071743667125701,-0.0990599989891052,0,0,chair
shapenet1256,car,0.0,0.0,0.4733024776977428,0.2273322343826294,0.0411356687545776,1,1,airplane
shapenet1258,car,-5.836457526150832,351.6666666666667,0.047595120390631185,0.3341395258903503,0.0757443904876709,1,1,car
