trial,dAB,dist2000,pre,ft2000
chair_c0_b44d32061d313fc1b7a3c315f744bdd8_0,0.06988113606142377,0.0667555663136625,-0.0165505409240722,-0.0173516273498535
chair_c0_b44d32061d313fc1b7a3c315f744bdd8_1,0.11684844941158534,0.0703830698264282,0.0256868600845336,0.0224799513816833
chair_c0_b44d32061d313fc1b7a3c315f744bdd8_2,0.1850871903560647,0.0878315929419935,-0.0306439399719238,0.0102980136871337
chair_c0_79f86911bc86222a4e5aa1f8c960ae63_0,0.4354524987424624,0.217074650057829,-0.0171234607696533,0.016602873802185
chair_c0_79f86911bc86222a4e5aa1f8c960ae63_1,0.5233348313864693,0.2239658684324717,0.1123057603836059,0.1338132619857788
chair_c0_79f86911bc86222a4e5aa1f8c960ae63_2,0.5233348313864693,0.2239658684324717,0.1723686456680297,0.2242878675460815
chair_c0_df23ca11080bb439676c272956dad3c2_0,0.23807451746584873,0.1304915411444533,0.2767214179039001,0.218376874923706
chair_c0_df23ca11080bb439676c272956dad3c2_1,0.29314701676514454,0.1538370886921892,0.1007310152053833,0.1997565627098083
chair_c0_df23ca11080bb439676c272956dad3c2_2,0.247659570450948,0.1370180937102345,0.0283456444740295,0.1824826896190643
chair_c0_b2bfe0be6956fe34f51f77a6d7299806_0,0.4354524987424624,0.217074650057829,0.0203614234924316,0.0483518838882446
chair_c0_b2bfe0be6956fe34f51f77a6d7299806_1,0.31019610578969714,0.2360036866726508,0.1476446390151977,0.2084647417068481
chair_c0_b2bfe0be6956fe34f51f77a6d7299806_2,0.6446161025756945,0.2625261694479545,0.0004656910896301,0.1252594292163849
chair_c0_9fae8d94a028e9ec2818b21315fe1bde_0,0.46032154357318045,0.314095222062549,-0.1322469115257263,-0.0358420312404632
chair_c0_9fae8d94a028e9ec2818b21315fe1bde_1,0.38930406042191446,0.2569919751223235,0.2607981562614441,0.3534976989030838
chair_c0_9fae8d94a028e9ec2818b21315fe1bde_2,0.4010456931955104,0.2513589953754415,0.1425357460975647,0.292546808719635
chair_c0_57406cae1c2978b40c306db1f141b05_0,0.5993720117446961,0.2574581319677741,0.0693267285823822,0.2128621339797973
chair_c0_57406cae1c2978b40c306db1f141b05_1,0.6076666401370585,0.3494977963005959,0.0576768517494201,0.0483885705471038
chair_c0_57406cae1c2978b40c306db1f141b05_2,0.5836890658235079,0.3341940189320145,0.2026260197162628,0.1678680777549743
chair_c0_c93a696c4b6f843122963ea1e168015d_0,0.1812244501358764,0.1296704695518358,0.0418236255645751,0.0893815159797668
chair_c0_c93a696c4b6f843122963ea1e168015d_1,0.21987049687215465,0.1327916140366592,0.0081018209457397,0.0654827952384948
chair_c0_c93a696c4b6f843122963ea1e168015d_2,0.30436800072091164,0.1742758363434081,-0.0419948697090148,0.0559123754501342
