trial,category,blind_k1,blind_k10,blind_k50,blind_k200
shapenet1255,airplane,0.5354058146476746,0.5385538935661316,0.5481889843940735,0.5752936005592346
shapenet1256,airplane,0.05707508325576782,0.06997906416654587,0.09200739115476608,0.13241513073444366
shapenet1258,airplane,0.2813139855861664,0.5002803206443787,0.6592716574668884,0.76515132188797
shapenet1259,airplane,1.0920640230178833,1.1436556577682495,1.2129594087600708,1.28435218334198
shapenet1260,airplane,0.42642155289649963,0.49029698967933655,0.5684094429016113,0.6477175354957581
shapenet1262,airplane,1.0565214157104492,1.1385271549224854,1.2301255464553833,1.3272281885147095
shapenet1263,airplane,0.483137845993042,0.49843454360961914,0.5119580626487732,0.542499303817749
shapenet1264,airplane,0.3488558828830719,0.5375909209251404,0.6803647875785828,0.776318371295929
shapenet1267,airplane,0.7600072026252747,0.7765028476715088,0.7942118644714355,0.820551872253418
shapenet1269,airplane,0.5773496031761169,0.6916293501853943,0.8000757098197937,0.888329029083252
shapenet1271,airplane,0.25581637024879456,0.320083886384964,0.36156049370765686,0.40092790126800537
shapenet1273,airplane,0.40831854939460754,0.5911915302276611,0.7014356255531311,0.7972005009651184
shapenet1274,airplane,0.6241573095321655,0.6728022694587708,0.6855509877204895,0.7068912982940674
shapenet1275,airplane,1.5020370483398438e-05,0.011102624237537384,0.026427438482642174,0.05555761978030205
shapenet1276,airplane,0.7986628413200378,0.8285367488861084,0.8863876461982727,0.9547327160835266
shapenet1278,airplane,0.2786601483821869,0.2853037416934967,0.2987959384918213,0.33960020542144775
shapenet1279,airplane,0.7547641396522522,0.8265787959098816,0.8898018002510071,0.9476034641265869
shapenet1283,airplane,0.7156946063041687,0.7300491333007812,0.7401041984558105,0.7614490985870361
shapenet1285,airplane,1.1038755178451538,1.1407743692398071,1.1885660886764526,1.2430952787399292
shapenet1286,airplane,0.7586949467658997,0.7617138028144836,0.7691420912742615,0.7875898480415344
shapenet1287,airplane,0.3965469300746918,0.40630435943603516,0.42081406712532043,0.4562011659145355
shapenet1288,airplane,0.31884559988975525,0.5357040166854858,0.6767069697380066,0.7740368843078613
shapenet1290,airplane,0.26337680220603943,0.45652392506599426,0.6232783198356628,0.7347230911254883
shapenet1292,airplane,1.0101782083511353,1.0964211225509644,1.17274010181427,1.2433414459228516
shapenet1294,airplane,0.7648434042930603,0.9041205048561096,0.9392011165618896,0.9575140476226807
shapenet1295,airplane,0.9444258213043213,1.0361065864562988,1.1238675117492676,1.2178696393966675
shapenet1296,airplane,0.8176282048225403,0.8211021423339844,0.827782154083252,0.8409817218780518
shapenet1297,airplane,0.39621877670288086,0.4684273302555084,0.5381755828857422,0.6196060180664062
shapenet1298,airplane,0.5011592507362366,0.5317355990409851,0.5687403678894043,0.6252374053001404
shapenet1299,airplane,0.6572956442832947,0.6656857132911682,0.6749100685119629,0.6983968615531921
shapenet1300,airplane,0.2673672139644623,0.31953227519989014,0.3910583555698395,0.45298025012016296
shapenet1303,airplane,0.7654930949211121,0.935950517654419,0.9569715857505798,0.9716610908508301
shapenet1304,airplane,0.018852749839425087,0.020573189482092857,0.03301583603024483,0.053485363721847534
shapenet1306,airplane,0.7671480178833008,0.8246088027954102,0.8810083270072937,0.9378218650817871
shapenet1308,airplane,0.2669629156589508,0.27910900115966797,0.29295000433921814,0.3331412076950073
shapenet1310,airplane,1.0244256258010864,1.060646891593933,1.1247764825820923,1.19229257106781
shapenet1312,airplane,0.8098170161247253,0.8589374423027039,0.8971406817436218,0.9364979863166809
shapenet1314,airplane,1.0060358047485352,1.0969035625457764,1.1657949686050415,1.2223060131072998
shapenet1315,airplane,0.11594390869140625,0.12657804787158966,0.14072825014591217,0.18538697063922882
shapenet1316,airplane,0.3462318480014801,0.38139405846595764,0.4436683654785156,0.4998760223388672
shapenet1317,airplane,0.6427847743034363,0.6494418978691101,0.659654438495636,0.6854214072227478
shapenet1318,airplane,0.9269879460334778,0.9974846839904785,1.045629858970642,1.0900999307632446
shapenet1320,airplane,0.3321438729763031,0.45047351717948914,0.5519134998321533,0.6281755566596985
shapenet1321,airplane,0.4873844087123871,0.4910307824611664,0.5006152391433716,0.5281776785850525
shapenet1322,airplane,0.7845112681388855,0.8033668398857117,0.8233097195625305,0.848513126373291
shapenet1324,airplane,1.00128173828125,1.1077512502670288,1.1740421056747437,1.2366663217544556
shapenet1325,airplane,0.04380281642079353,0.05309489369392395,0.07971357554197311,0.1351526826620102
shapenet1328,airplane,0.9634459614753723,1.0525445938110352,1.1464076042175293,1.2444864511489868
shapenet1330,airplane,0.350531667470932,0.5281793475151062,0.6652834415435791,0.7617335319519043
shapenet1333,airplane,0.8258592486381531,0.8872904181480408,0.9372208714485168,0.9869208335876465
shapenet1337,airplane,0.21805967390537262,0.30985549092292786,0.3744617700576782,0.41945910453796387
shapenet1339,airplane,0.2776075005531311,0.36811184883117676,0.4252220094203949,0.4641893804073334
shapenet1341,airplane,0.3017905056476593,0.5273743867874146,0.6938005089759827,0.8009123802185059
