descriptor,estimator,missing,all_fit,all_test,own_fit,own_test,oth_fit,oth_test
multiview,knn10,0,-0.14720525296506878,-0.1484952403157244,-0.15442293221964107,-0.1571178997829801,-0.08060140783920806,-0.07949685866143086
multiview,mean25,0,-0.1189754763059881,-0.12203635367132633,-0.1278516066851318,-0.1350484236427889,-0.04366901962648924,-0.04458963029932792
multiview,centroid,0,-0.12465521257085478,-0.12775626571798274,-0.1411815536083936,-0.15117408156687115,-0.045160037034027954,-0.04565262744569049
multiview,cov_q02,0,-0.10554825658159901,-0.10740212156079333,-0.1143831857203812,-0.13713728500966066,-0.010932104001086494,-0.009236289601658057
multiview,cov_q05,0,-0.12811786841981754,-0.13061574206624624,-0.12432827004650558,-0.14017767036347736,-0.014646476437047343,-0.013701309100930727
multiview,cov_q10,0,-0.13680158319566832,-0.14033477670976624,-0.12137525999551067,-0.1357025357546822,-0.024820953884694755,-0.023928387202946575
d57,nn1,0,-0.11451639995974564,-0.11850531311982002,-0.1943551127412225,-0.18691258664194232,-0.056351387046431244,-0.06022459956446819
d57,knn5,0,-0.1077284023106459,-0.11313829161840253,-0.1928206099432601,-0.185616269163418,-0.043808111495176404,-0.04919141789485636
d57,knn10,0,-0.10240018280420077,-0.10834288829208248,-0.18023813053121596,-0.17376401822478957,-0.0356687266480025,-0.04184442617719491
d57,mean25,0,-0.08491909548957965,-0.09068209365675375,-0.12018253657610264,-0.11523403721419756,-0.014508086030932758,-0.02082347488105112
d57,centroid,0,-0.0875914636918921,-0.09373946488430698,-0.15092109432783168,-0.14593189379212235,-0.012787496117936097,-0.019510910622663198
d57,cov_q02,0,-0.10599862878217976,-0.10523733510875227,-0.06215879691618205,-0.06639258712301178,-0.016230702998121644,-0.015571465005800303
d57,cov_q05,0,-0.10962619816706404,-0.11164952343701903,-0.09255757167571287,-0.08780636620603158,-0.02080895826810624,-0.022842314674838913
d57,cov_q10,0,-0.10185127317162616,-0.10821864089251679,-0.1190865103994658,-0.1181467253559986,-0.018220212749901196,-0.024068539440048338
dinov2_pretrained,nn1,0,-0.24885556550162252,-0.2521125499169541,-0.2320302465472634,-0.23613559024311467,-0.15594114194178813,-0.15469092237052393
dinov2_pretrained,knn5,0,-0.2424362146229119,-0.2467665333226003,-0.21479701307421198,-0.22564327919903307,-0.14864443092703578,-0.14818364401349943
dinov2_pretrained,knn10,0,-0.2341041231971942,-0.23893388198508922,-0.19058405503842998,-0.20717930605905913,-0.13922764566789506,-0.1388800790543235
dinov2_pretrained,mean25,0,-0.2163604815515436,-0.22120225198923563,-0.1380154724759892,-0.15761120648978985,-0.1184911914242714,-0.11774664694544582
dinov2_pretrained,centroid,0,-0.22688960939781908,-0.23130319278524974,-0.21164737145980084,-0.23127768314114416,-0.1200650758771867,-0.11860036814675584
dinov2_pretrained,cov_q02,0,-0.1817033513286375,-0.18871825167012343,-0.17239400787019896,-0.18967193687995337,-0.034614902343205106,-0.030920856531772793
dinov2_pretrained,cov_q05,0,-0.20971281832874633,-0.21399508143711268,-0.19758946981188413,-0.206845765452002,-0.0791955221586239,-0.07833955436103371
dinov2_pretrained,cov_q10,0,-0.22452375467440466,-0.22913636016475236,-0.1638790541462796,-0.16077217926021428,-0.11614677304633175,-0.11725117913163206
viewdepth_objmean,nn1,0,-0.14649045032083405,-0.15181326024236153,-0.18908687763207496,-0.18829460548516733,-0.06701970197155274,-0.07213132517164789
viewdepth_objmean,knn5,0,-0.1471191362351318,-0.15265452792483625,-0.19755791565625144,-0.19354445363229789,-0.0667058878318612,-0.07218197671484036
viewdepth_objmean,knn10,0,-0.1443215590958738,-0.14988887500851863,-0.20024244978967182,-0.19660306270009076,-0.06279842332714393,-0.06834138683251198
viewdepth_objmean,mean25,0,-0.1300283402441941,-0.13560148120544283,-0.1778091381941297,-0.17998452332317114,-0.04501611166613001,-0.050607773495314985
viewdepth_objmean,centroid,0,-0.13414378876809355,-0.13979187790245132,-0.19688352849230045,-0.19686408628563717,-0.04358385010672583,-0.04885619782174733
viewdepth_objmean,cov_q02,0,-0.12246156760984182,-0.12049597037126782,-0.14451878774677818,-0.153302846330464,-0.02118108569397181,-0.017391960374845347
viewdepth_objmean,cov_q05,0,-0.14064728449266545,-0.14085508103698294,-0.15528294987243743,-0.15562212862381766,-0.02967164548015374,-0.029321663350534256
viewdepth_objmean,cov_q10,0,-0.13812314931558686,-0.14414230376292925,-0.1564034595142366,-0.15066034195389466,-0.03253384446980917,-0.039605789649514236
viewdepth_image,view_nn1,0,-0.1505046918700874,-0.15906482620850967,-0.19299863719721444,-0.20125163860731343,-0.054461370604660594,-0.06314034052753627
viewdepth_image,view_knn5,0,-0.1440049277017426,-0.1526980501903029,-0.18952032343204078,-0.19818240895077155,-0.04804221759844589,-0.057155124118132616
viewdepth_image,view_knn10,0,-0.13893577050131714,-0.1475296783391364,-0.18788248206747046,-0.19554167573345158,-0.04402374536927681,-0.053197887551995934
viewdepth_image,view_nn1_sameview,0,-0.16507785833527502,-0.171849734300912,-0.19562508167495932,-0.19865252259401078,-0.07449197990629094,-0.08044248618515802
viewdepth_image,view_knn5_sameview,0,-0.16504823759801518,-0.1724368781461202,-0.19551486985442929,-0.19828039940233624,-0.07325266099245888,-0.0801678395192992
