model,trial,knn10,nn1,cov,margin,pre
2,shapenet989,0.3518044692552824,0.2573438734672349,0.0,0.0123646855354309,-0.0186413526535034
2,shapenet1005,0.3388745402925146,0.15156784472892093,0.0,0.2198492884635925,0.0517405867576599
2,shapenet1019,0.47070319627265755,0.36952075486242936,0.0,0.1822312176227569,0.1106313467025756
2,shapenet1023,0.21199397406161674,0.12402162834036312,0.34657359027997264,0.0884080529212951,0.0011004209518432
2,shapenet1070,0.3567845894380355,0.2180940910161699,0.0,0.2038434147834777,0.0718432664871215
2,shapenet1074,0.18779760660243333,0.12635188674412212,0.34657359027997264,0.2660607993602752,0.1257690191268921
2,shapenet1079,0.5135020727009512,0.39127030917838135,0.0,0.2276146411895752,0.1123298406600952
2,shapenet1113,0.25701224940178835,0.17641338995471922,0.0,0.0710241794586181,-0.0017550587654113
2,shapenet1141,0.5051305803144244,0.3833127369303805,0.0,-0.0511168837547302,-0.0316673517227172
2,shapenet1142,0.4951898468258405,0.41734513062251716,0.0,0.195563405752182,0.1275563836097717
2,shapenet1149,0.45938295939607154,0.3220943714216715,0.8047189562170501,0.215334951877594,0.1033546924591064
2,shapenet1186,0.6229321802527946,0.39454194889589356,0.0,0.075933814048767,-0.0476050376892089
2,shapenet1234,0.5399960038276027,0.39892136973314823,0.0,0.1041208207607269,0.0737968981266021
2,shapenet1250,0.506203395142049,0.3007965013981582,0.0,0.2598636746406555,0.1765790581703186
2,shapenet1255,0.34806582067196884,0.19099711034665656,0.0,-0.0443715155124664,-0.0990598201751709
2,shapenet1263,0.4159771483678526,0.33257902555269653,0.0,0.3770404662936926,0.2409014403820037
2,shapenet1296,0.5112327881140056,0.22354989265342312,0.34657359027997264,0.2463212311267852,0.1303049027919769
2,shapenet1312,0.3967371570756324,0.2296726490282162,0.0,0.3645373880863189,0.2861449420452118
2,shapenet1321,0.4120135171424075,0.3456267811024263,0.0,0.0983499884605407,0.181105375289917
2,shapenet1357,0.4035476881380703,0.30015689190667394,0.0,0.2443993687629699,0.1531468033790588
2,shapenet1361,0.6108329321168025,0.4299117182486601,0.0,0.286005899310112,0.1332599520683288
2,shapenet1397,0.29414563435023733,0.22202149640649904,0.0,0.247600644826889,0.0369682908058166
2,shapenet1402,0.6191883662066267,0.47644254814242804,0.0,0.2418294847011566,0.1425018906593322
2,shapenet1470,0.34640075367038026,0.20596421207050375,0.0,0.1551733016967773,0.0665143132209777
2,shapenet1491,0.5618421142172167,0.48242773706964187,0.0,0.2545966506004333,0.2346081137657165
3,shapenet19,0.5279792874696865,0.3926343597240674,0.0,0.1991770565509796,0.0506070256233215
3,shapenet22,0.32033199549404834,0.20414528498276735,0.5493061443340549,0.2941754460334778,0.1911990642547607
3,shapenet25,0.4772678917963873,0.35771657443569893,0.0,0.2855403125286102,0.2099207639694214
3,shapenet74,0.480798635231412,0.41868157525465105,0.0,-0.0329260528087616,-0.0312279462814331
3,shapenet118,0.34655648183503496,0.14567203873919887,0.34657359027997264,0.0586713701486587,0.0405457615852355
3,shapenet119,0.5780059605708598,0.4048092321948937,0.0,-0.033764362335205,-0.0691739320755004
3,shapenet126,0.20064138578175994,0.11915544862524602,0.34657359027997264,0.1023882627487182,-0.0086699128150939
3,shapenet184,0.41372576599176336,0.3365427628730812,0.0,0.1790846586227417,0.0380235612392425
3,shapenet186,0.6311846912258978,0.43477540827635164,0.0,0.4188353661447763,0.2805328369140625
3,shapenet204,0.45137312551601494,0.2952959565048257,0.0,0.2315194606781005,0.0291332602500915
3,shapenet232,0.47524372347973054,0.2891997235907058,0.0,0.285517007112503,0.153318852186203
3,shapenet260,0.3971948611440458,0.20390727951867127,0.0,0.1944907307624817,0.0861707031726837
3,shapenet262,0.5950362764411559,0.43282034636267763,0.0,-0.0402977764606475,-0.1050140261650085
3,shapenet268,0.5067225044472949,0.3376200860683799,0.0,0.0267311334609985,-0.0165807008743286
3,shapenet271,0.3562390673263779,0.17108453577938232,0.0,0.1262633055448532,0.066796600818634
3,shapenet289,0.48003957430982613,0.28430799815716307,0.0,0.1573894619941711,0.0571181178092956
3,shapenet304,0.4810890058191477,0.2999304095710767,0.0,0.3690296113491058,0.2207829654216766
3,shapenet307,0.21777611734933172,0.12513977766979167,0.34657359027997264,0.1394522190093994,0.0181713700294494
3,shapenet359,0.2413208909543461,0.1484110241008998,0.34657359027997264,-0.0559403300285339,-0.0478737950325012
3,shapenet372,0.3121763089132415,0.19121530596924613,0.0,0.1215248256921768,-0.066386193037033
3,shapenet379,0.4883754709353339,0.35847224901521263,0.0,0.1913902163505554,0.1614040732383728
3,shapenet388,0.4830600369276886,0.3099107112119957,0.5493061443340549,0.1402445435523986,0.0488551259040832
3,shapenet453,0.27849038109413027,0.11156430278010299,0.34657359027997264,0.2686465680599212,0.0975065231323242
3,shapenet478,0.5243567756897941,0.45803178755228446,0.0,0.3727635443210602,0.3121097087860107
3,shapenet482,0.5764346941413863,0.498522188984055,0.0,0.2300736904144287,0.1997835636138916
3,shapenet518,0.5713087893838653,0.42600710610496634,0.0,0.2421959042549133,0.0327659845352172
3,shapenet529,0.3167878340222449,0.14336571791977676,0.34657359027997264,0.0601657032966613,-0.0335785150527954
3,shapenet535,0.3900838823594187,0.19856162920193487,0.0,0.0225268602371215,-0.0375724732875824
3,shapenet580,0.5604744919068286,0.4299727861782243,0.0,0.1569248437881469,0.0883298516273498
3,shapenet592,0.4772678917963873,0.35771657443569893,0.0,0.2644944190979004,0.1592598855495453
3,shapenet608,0.5279792874696865,0.3926343597240674,0.0,0.0802704691886901,0.1172828674316406
3,shapenet616,0.5780059605708598,0.4048092321948937,0.0,0.1505621671676635,0.144422709941864
3,shapenet666,0.34655648183503496,0.14567203873919887,0.34657359027997264,0.2356016933917999,0.120289921760559
3,shapenet683,0.480798635231412,0.41868157525465105,0.0,0.0066271424293518,0.0489208102226257
3,shapenet686,0.32033199549404834,0.20414528498276735,0.5493061443340549,0.178877592086792,0.064503788948059
3,shapenet697,0.5604744919068286,0.4299727861782243,0.0,0.2706360071897506,0.0468218922615051
3,shapenet732,0.20064138578175994,0.11915544862524602,0.34657359027997264,0.0537436604499816,0.0310443639755249
3,shapenet740,0.5275039283628823,0.2862585307672885,0.0,0.3415058404207229,0.1906965374946594
3,shapenet759,0.39889269604672795,0.24617042133110828,0.0,0.051333725452423,-0.0092963576316833
3,shapenet782,0.36029757116927186,0.23685784551013217,0.0,0.1379095911979675,0.0130805373191833
3,shapenet808,0.21818908570420925,0.1018814760773139,0.8958797346140275,-0.0356059670448303,0.0088021755218505
3,shapenet820,0.4809579941875135,0.31389665622930213,0.0,0.2354780435562133,0.1661158204078674
3,shapenet840,0.5190832893515996,0.34836930180612846,0.0,0.153358906507492,0.0693280100822448
3,shapenet846,0.34105840251807373,0.16005733510012077,0.0,0.3364345282316208,0.102748155593872
3,shapenet867,0.5772636363846151,0.3684424625099968,0.0,0.3654169887304306,0.2905645370483398
